Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
"+46,713",World,2023-03-26 14:38,"+21,001",+101,"683,287,033","6,826,716","656,214,535"
,USA,2023-03-26 14:38,,,"106,090,168","1,153,587","103,772,524"
,India,2023-03-26 14:38,,,"44,704,147","530,831","44,163,883"
,France,2023-03-26 14:38,,,"39,752,553","165,469","39,472,690"
"+2,000",Germany,2023-03-26 14:38,,,"38,330,941","170,331","38,017,200"
,Brazil,2023-03-26 14:38,,,"37,204,677","699,917","36,249,161"
+600,Japan,2023-03-26 12:35,"+6,324",+22,"33,421,785","73,747","21,715,481"
"+12,792",S. Korea,2023-03-24 05:16,,,"30,759,895","34,217","30,560,080"
,Italy,2023-03-26 11:35,,,"25,673,442","188,933","25,345,910"
"+3,104",UK,2023-03-26 14:38,,,"24,448,729","209,396","24,178,746"
"+9,899",Russia,2023-03-26 12:35,"+10,940",+32,"22,586,210","397,078","21,938,293"
N/A,Turkey,2023-03-26 14:38,,,"17,042,722","101,492",N/A
,Spain,2023-03-26 11:35,,,"13,790,580","120,170","13,638,948"
,Vietnam,2023-03-26 11:35,+7,,"11,527,210","43,186","10,614,899"
,Australia,2023-03-26 14:38,,,"11,301,219","19,760","11,259,555"
"+7,057",Taiwan,2023-03-26 11:35,+4,+29,"10,239,998","18,985","10,093,163"
,Argentina,2023-03-26 11:35,,,"10,044,957","130,472","9,913,653"
+297,Netherlands,2023-03-26 14:38,,,"8,608,123","22,992","8,569,350"
,Iran,2023-03-26 11:35,,,"7,580,858","145,091","7,342,490"
,Mexico,2023-03-26 14:38,,,"7,526,949","333,443","6,762,899"
+246,Indonesia,2023-03-26 13:36,+426,,"6,744,033","160,994","6,578,507"
,Poland,2023-03-26 11:35,+303,+1,"6,488,375","119,245","5,335,940"
,Colombia,2023-03-26 11:35,,,"6,361,810","142,665","6,185,327"
"+3,341",Austria,2023-03-26 12:35,"+1,861",,"6,023,685","22,082","5,965,731"
"+1,902",Greece,2023-03-26 14:38,,,"5,920,428","36,447","5,871,754"
,Portugal,2023-03-26 12:35,,,"5,573,509","26,362","5,541,722"
,Ukraine,2023-03-26 14:38,,,"5,427,360","111,457","5,287,774"
,Chile,2023-03-26 11:35,,,"5,250,077","64,482","5,175,993"
,Malaysia,2023-03-26 14:38,,,"5,047,040","36,972","5,000,411"
,Israel,2023-03-26 14:38,,,"4,810,698","12,372","4,781,252"
,DPRK,,,,"4,772,813",74,"4,772,739"
"+1,340",Belgium,2023-03-26 11:35,,,"4,767,730","33,982","4,683,673"
